n size      역정렬      순정렬        랜덤
     0    0.000000    0.000000    0.000000
    10    0.000000    0.000000    0.000000
    20    0.000000    0.000000    0.000001
    30    0.000001    0.000001    0.000002
    40    0.000001    0.000001    0.000003
    50    0.000002    0.000002    0.000004
    60    0.000003    0.000003    0.000006
    70    0.000004    0.000004    0.000007
    80    0.000005    0.000005    0.000009
    90    0.000006    0.000006    0.000011
   100    0.000007    0.000007    0.000013
   200    0.000028    0.000027    0.000041
   300    0.000069    0.000060    0.000082
   400    0.000118    0.000109    0.000143
   500    0.000181    0.000163    0.000201
   600    0.000254    0.000232    0.000298
   700    0.000350    0.000319    0.000381
   800    0.000447    0.000410    0.000461
   900    0.000565    0.000524    0.000599
  1000    0.000711    0.000644    0.000726
  1100    0.000835    0.000755    0.000916
  1200    0.000992    0.000928    0.001026
  1300    0.001236    0.001147    0.001269
  1400    0.001368    0.001239    0.001328
  1500    0.001555    0.001403    0.001564
  1600    0.001744    0.001686    0.001773
  1700    0.001974    0.001845    0.001953
  1800    0.002234    0.002045    0.002268
  1900    0.002580    0.002412    0.002630
  2000    0.002755    0.002446    0.002686
